Date,Open,High,Low,Close,Volume
2018/3/2,150,174.44,150,151.68,145710
2018/3/5,153.01,166.85,153,166.85,110771
2018/3/6,171.14,183.42,171,177.12,98206
2018/3/7,175.31,181,170.51,175.48,68827
2018/3/8,176.43,178.88,170.51,172.8,53615
2018/3/9,171.3,181,171.08,175.28,69357
2018/3/12,177,192.81,175.5,192.81,70975
2018/3/13,196,207.89,193,196.86,76875
2018/3/14,198.88,202,189,192.7,60304
2018/3/15,191.3,199.98,191.1,199.66,56456
2018/3/16,201,204.65,185.18,190.01,69728
2018/3/19,188,207.5,187.66,204.58,72845
2018/3/20,203.07,207.5,200.12,202.61,38589
2018/3/21,203.33,204.33,191.1,193.56,57410
2018/3/22,193.53,195.29,180.81,182.12,68626
2018/3/23,173,184.5,171.01,177.12,79045
2018/3/26,182.3,192.77,180.8,188.94,64649
2018/3/27,191.77,198.08,186,195.9,72032
2018/3/28,192.1,204.77,192.1,194.84,54424
2018/3/29,197,199.9,182.8,190.89,53476
2018/3/30,191.08,198.55,188.5,196.8,62450
2018/4/2,200,215.67,198.59,207.94,88467
2018/4/3,205,211.8,198.68,208.82,56839
2018/4/4,208,209.47,199.4,199.85,44850
2018/4/9,199.86,201.88,191.01,195.28,37670
2018/4/10,193.97,195,184.44,191.19,47265
2018/4/11,190.97,197,188.96,191.43,25880
2018/4/12,190,193.53,180.1,181,44538
2018/4/13,183.02,190.4,180.68,186.93,42562
2018/4/16,184,192.5,180.5,187.7,50931
2018/4/17,193,199.19,177.38,178.17,79371
2018/4/18,181,195.99,177.91,195.99,89128
2018/4/19,199,206.71,195.5,196.88,85892
2018/4/20,195,209.9,194.76,205.37,89250
2018/4/23,205.01,205.5,192.21,193.71,65914
2018/4/24,191,199.49,185,199.15,51074
2018/4/25,195.55,198,186.88,189.56,57973
2018/4/26,188.68,193.28,180.4,181.23,59117
2018/4/27,185.68,185.68,169,174.59,68095
2018/5/2,174.2,180.35,171.5,174.48,43898
2018/5/3,167,169,157.09,168.11,73359
2018/5/4,166,176.45,164.68,173.18,49899
2018/5/7,172.2,176.33,169.88,173.11,31107
2018/5/8,174,178.17,170.01,172.99,30652
2018/5/9,171.2,176.97,171.05,172.72,29416
2018/5/10,171.95,172.98,165.13,166.91,34750
2018/5/11,166.75,167.8,161.59,165.07,29893
2018/5/14,162,167.3,160.2,161.71,29229
2018/5/15,161.9,164.35,157.51,163.89,40734
2018/5/16,163,175.27,162.2,169.29,56051
2018/5/17,170.09,173.47,167.05,170.55,27480
2018/5/18,170.5,171.95,164.5,167.56,22562
2018/5/21,118.8,131.35,118.8,131.35,69718
2018/5/22,129.01,131.5,127.33,128.87,52888
2018/5/23,128.6,131.58,127.8,128.27,53406
2018/5/24,128.05,129,123,123.23,45046
2018/5/25,123.21,125.5,120.14,120.65,40165
2018/5/28,120.32,121.97,115.8,116,41942
2018/5/29,116.99,118.33,112.5,113.2,46114
2018/5/30,111.18,116.43,108.55,109.71,55036
2018/5/31,110.69,111.8,104.61,108.45,53632
2018/6/1,107.9,109.99,103.16,104.18,57959
2018/6/4,105.88,108.32,103.8,105.93,54235
2018/6/5,106.6,112.5,105.2,111.68,58946
2018/6/6,110.99,112.6,109.68,111.1,46394
2018/6/7,112.3,112.5,107.43,108.33,34868
2018/6/8,107,108.1,103.52,104.7,48879
2018/6/11,103.88,103.95,100,100.26,48518
2018/6/12,100.25,101.5,96.85,100,59427
2018/6/13,100.5,106.66,99.5,103.83,70409
2018/6/14,102.72,105.96,101.2,103.92,46351
2018/6/15,103.74,105.68,101,104.87,42416
2018/6/19,103.52,109.71,95.56,101.19,72963
2018/6/20,99.5,103,96.5,100.26,53304
2018/6/21,98.73,99.98,90.41,90.56,65558
2018/6/22,89.17,93.8,88.01,91.92,48639
2018/6/25,93.09,93.8,90.25,90.87,35176
2018/6/26,89.02,99.96,88.7,97.64,84572
2018/6/27,98.5,102.93,98.5,101.01,87429
2018/6/28,100.98,103.5,98.5,98.7,50091
2018/6/29,100,108.57,99.31,108.52,87362
2018/7/2,107.9,109.5,104.91,107.53,68524
2018/7/3,107.2,116.5,105.38,113.16,95200
2018/7/4,112.13,113.98,107.8,109.27,74947
2018/7/5,107.69,108.88,102.45,102.55,82769
2018/7/6,102.07,108.9,102.07,103.38,87826
2018/7/9,103.5,105.99,102.55,104.59,59208
2018/7/10,103.88,105.6,100.5,102.81,62522
2018/7/11,100,103.17,98.21,100.95,61550
2018/7/12,101.6,111,101.5,109.15,108903
2018/7/13,108.06,118,107.5,116.19,113688
2018/7/16,116.6,119.8,114.14,117.04,70410
2018/7/17,118.13,121.99,115.89,119.58,79397
2018/7/18,122.1,124.99,116.83,116.97,74815
2018/7/19,115.9,118.33,114.03,116.02,52555
2018/7/20,116.9,121.36,114.12,119.04,61750
2018/7/23,120.89,129.16,120,128.24,90555
2018/7/24,125.5,127.7,123.5,126.39,70360
2018/7/25,125.1,129.47,125.1,126.32,47517
2018/7/26,125.01,125.6,114,117.68,87268
2018/7/27,117,119.6,115.5,118.31,34463
2018/7/30,118.24,118.55,112.25,113.55,46129
2018/7/31,114.25,115.7,113,114.94,30209
2018/8/1,116.04,124.5,116.04,118.68,85460
2018/8/2,119,122.38,114.38,120.5,68918
2018/8/3,115.53,117.7,108.6,108.69,78512
2018/8/6,106,108.13,102.9,104.69,44750
2018/8/7,105.06,107.33,100.01,107.07,58597
2018/8/8,105.9,106.9,98.48,99.42,48916
2018/8/9,98.72,108.11,98.17,106.79,72493
2018/8/10,106.7,112.5,106.04,111.17,61559
2018/8/13,109.66,115.28,108.68,114.64,61479
2018/8/14,113.33,114.2,106.85,108.96,64964
2018/8/15,108.12,109.93,104,104.9,53104
2018/8/16,101.98,106.89,100.51,102.87,48999
2018/8/17,104.9,105.85,101.13,102.79,36492
2018/8/20,101.88,104.96,99.62,104.96,41075
2018/8/21,104.49,107.18,102.3,105.9,44782
2018/8/22,104.88,106.8,102.59,103.57,36531
2018/8/23,103,108.4,102.63,107.72,63506
2018/8/24,106.8,113.68,106.8,112.1,78476
2018/8/27,110,116.99,110,114,76858
2018/8/28,114.2,116.21,113.29,114.76,35850
2018/8/29,114.2,115.5,113.25,114.95,33275
2018/8/30,115,115.47,110.1,110.5,47525
2018/8/31,110.62,111.73,109.31,109.32,31149
2018/9/3,108.9,110.32,103.9,110,44440
2018/9/4,110.07,113.47,108.05,112.1,50046
2018/9/5,111.11,112.36,107.58,107.6,42405
2018/9/6,106.79,110.09,105.3,107.71,37821
2018/9/7,107.25,109.64,99.99,102.58,68346
2018/9/10,101.66,101.66,92.92,94.16,89899
2018/9/11,94.98,95.5,90.88,92.78,62814
2018/9/12,92.77,94.99,91.5,93.3,40832
2018/9/13,94.8,95.15,85.48,89.91,80224
2018/9/14,90.9,91.1,87,87.81,45967
2018/9/17,87.07,87.87,84.8,84.95,42671
2018/9/18,84.47,87.31,84.4,87.2,43272
2018/9/19,86.88,92.85,85.44,90.36,74440
2018/9/20,89.99,91,88.61,88.96,36163
2018/9/21,89.49,89.58,84.5,88.7,69890
2018/9/25,87.51,91.17,86.87,89.5,48382
2018/9/26,89.05,92.5,88.58,90.87,48601
2018/9/27,90.61,91.78,88.15,88.5,39065
2018/9/28,88.77,89.32,86.5,88.73,37351
2018/10/8,85,85,79.86,79.86,50653
2018/10/9,77.11,78.75,72.39,74.45,91681
