Date,Open,High,Low,Close,Volume
2018/1/2,183.8,183.8,179.35,182.45,4659
2018/1/3,181.11,190.25,180,187.99,8667
2018/1/4,182.8,200.1,182.8,195.6,13340
2018/1/5,194.52,203,194.5,197.73,8779
2018/1/8,199.19,210.1,197.1,208.72,11251
2018/1/9,204,206.94,200.01,200.76,9855
2018/1/10,202,202,194,196.52,5719
2018/1/11,195,206.68,194,205.58,8527
2018/1/12,204.56,221.98,204,213.75,10870
2018/1/15,215.32,223.5,208.8,212.19,8366
2018/1/16,203.5,215.9,203.5,207.51,7114
2018/1/17,208.96,208.96,203.77,204.74,4652
2018/1/18,204.99,205.9,199,200.03,5343
2018/1/19,200.2,203.34,197.11,199.48,4324
2018/1/22,200,202.48,198.27,199.37,4326
2018/1/23,198.95,199,190,190.71,9246
2018/1/24,190,196.43,188,195.1,6370
2018/1/25,195.1,195.94,190.71,190.84,4069
2018/1/26,190.88,199.26,190.88,197.23,7608
2018/1/29,196.2,200,191.58,193.01,5581
2018/1/30,193.01,194.12,187.06,188.42,4726
2018/1/31,188.38,188.38,181.33,181.64,4647
2018/2/1,181.88,183.62,178.29,179.54,3206
2018/2/2,179.54,181.89,174.81,178.42,3712
2018/2/5,176.58,176.7,173.82,174.43,2800
2018/2/6,170,170.79,162.01,162.96,5990
2018/2/7,167.98,168.67,162,167.47,5059
2018/2/8,167.01,168.8,165.61,168.42,3636
2018/2/9,164.1,165.42,151.58,151.58,17566
2018/2/12,149.9,153.18,139.75,151.57,33762
2018/2/13,148.01,149.79,142.49,142.55,18192
2018/2/14,143,146.3,142.06,143.7,8886
2018/2/22,145,146.4,144.01,145.47,7633
2018/2/23,145.5,148.99,145.5,147.5,8684
2018/2/26,149,158.6,146.71,156.68,15363
2018/2/27,156.9,158.81,154.18,156.98,10591
2018/2/28,155.64,158.44,152,156.18,8392
2018/3/1,154.05,158.95,154.04,158.32,7672
2018/3/2,157.5,160.55,156.08,156.51,9106
2018/3/5,156.52,157.8,154.25,157.59,6033
2018/3/6,157.55,168.28,157.55,164.9,12615
2018/3/7,165.33,165.6,160.5,160.58,8380
2018/3/8,160.34,164.28,159,161.3,7450
2018/3/9,161.96,167.1,161,166.77,12182
2018/3/12,166.98,169.88,165.5,168.26,10640
2018/3/13,167.05,167.59,164.45,164.71,7945
2018/3/14,163.47,165.97,163,163.58,5017
2018/3/15,162.8,162.8,154.88,157,10739
2018/3/16,157.47,161.99,157.47,158.82,6420
2018/3/19,158.1,170.22,158.1,168.62,17538
2018/3/20,166.8,168.7,165.01,167.95,7938
2018/3/21,169.28,169.8,162.6,163.42,10034
2018/3/22,163.61,165.98,161.8,163.39,7478
2018/3/23,157.78,159,147.08,147.3,12969
2018/3/26,143.11,152.38,143.11,152.24,8335
2018/3/27,153.61,158.84,153.59,157.49,8567
2018/3/28,155.06,166.76,153.5,164.06,13368
2018/3/29,165,169.91,163,165.5,9416
2018/3/30,166.2,172.88,166.2,172.07,11953
2018/4/2,172.89,173.85,168.02,168.88,9538
2018/4/3,160.18,162.9,155.5,161.99,13972
2018/4/4,162.88,164.5,158.39,158.9,9164
2018/4/9,157.31,160.65,155,158.38,8077
2018/4/10,160.17,160.2,154.29,156.36,8514
2018/4/11,156.91,158.33,156.08,156.35,6113
2018/4/12,155.81,158.88,155.31,156.55,6365
2018/4/13,157.56,158.37,155.01,155.5,6018
2018/4/16,154,158.28,153.01,155.8,5511
2018/4/17,156,157,151.66,151.87,6151
2018/4/18,153,153.59,148,152.68,6211
2018/4/19,151.7,153.65,151.01,152.03,4079
2018/4/20,151.88,152.2,147.8,148.1,6250
2018/4/23,148.86,149.98,144.88,146.72,3758
2018/4/24,146.1,152.68,146.1,152.63,6279
2018/4/25,152.06,155.68,151.19,153.03,5577
2018/4/26,152.17,153,147.5,147.62,5713
2018/4/27,148.51,149.47,147.2,148.06,3480
2018/5/2,148.58,150,148.3,149.33,3506
