Date,Open,High,Low,Close,Volume
2018/1/2,46.46,47.83,46.2,47.58,112653
2018/1/3,47.56,48.12,47.11,48.06,108955
2018/1/4,47.8,48.53,47.33,47.77,100217
2018/1/5,48.8,49.33,47.9,48.07,151439
2018/1/8,48.3,48.35,46.5,47.9,147321
2018/1/9,47.84,47.84,46.8,47.25,90513
2018/1/10,47.63,51.79,47.63,50.62,378787
2018/1/11,50.96,54.5,50.38,53.52,478173
2018/1/12,53.53,53.53,50.94,51.19,319450
2018/1/15,49.89,50.36,48.68,49.31,245082
2018/1/16,49.61,50.39,49.3,50.23,153321
2018/1/17,48.51,48.85,47.18,48.06,195905
2018/1/18,47.99,48.42,47.41,47.57,95103
2018/1/19,47.61,49.08,47.5,48.48,125721
2018/1/22,48.45,51.43,48.08,50.68,226145
2018/1/23,50.3,50.59,49.72,50.41,119382
2018/1/24,50.41,53.26,50.01,52.63,330701
2018/1/25,52.48,53.3,50.88,50.93,223360
2018/1/26,50.9,51.96,50.5,51.38,140589
2018/1/29,51.37,51.92,49.48,50.44,150745
2018/1/30,51,52.28,49.97,52.21,176899
2018/1/31,51.58,52,50.62,51.49,178732
2018/2/1,51.71,52.47,47.39,48.79,237826
2018/2/2,49,49.8,47.5,49.06,131155
2018/2/5,47.8,48.86,47.58,48.09,86270
2018/2/6,46.3,46.99,43.28,43.3,237718
2018/2/7,44.57,44.98,41.9,43.77,170133
2018/2/8,43.85,45,43.55,44.63,100831
2018/2/9,42.71,43.8,41.5,43.43,145928
2018/2/12,43.7,44.97,43.7,44.76,95485
2018/2/13,45.2,45.65,44.31,44.56,84913
2018/2/14,44.6,44.79,43.88,44.45,52867
2018/2/22,45,46.35,44.86,45.99,99421
2018/2/23,45.82,46.29,45.39,45.79,63852
2018/2/26,46.25,47.36,46.05,46.99,121046
2018/2/27,47.52,49,47.07,47.2,158552
2018/2/28,46.99,48.5,46.3,47.74,121427
2018/3/1,47.51,50.46,47.35,50.42,322846
2018/3/2,49.88,50.49,48.8,49.27,219109
2018/3/5,50.35,51.35,49.86,50.69,221166
2018/3/6,51.05,52.87,50.8,51.35,308255
2018/3/7,50.35,50.66,49.61,49.65,188041
2018/3/8,49.66,50.77,49.66,49.98,125073
2018/3/9,50.08,52.44,49.85,52.04,257074
2018/3/12,51.98,54.09,51.98,52.27,278667
2018/3/13,52.2,54.2,51.6,53.33,283264
2018/3/14,52.86,53.35,51.2,51.4,184621
2018/3/15,51.38,52.52,50.7,52.39,165037
2018/3/16,54.35,55.48,52.71,52.8,290338
2018/3/19,52,53.77,51.46,52.56,184563
2018/3/20,51.25,53.1,50.9,52.59,156293
2018/3/21,52.4,53.5,50.57,50.71,185087
2018/3/22,51.01,52.87,50.73,51.61,192114
2018/3/23,49.44,50.68,47.37,49.19,243136
2018/3/26,48.6,51.49,48.6,51.39,173399
2018/3/27,52.49,56.53,52.3,56.53,320311
2018/3/28,57.58,59.72,56.87,58.28,631153
2018/3/29,58.14,59.26,56.7,57.63,345747
2018/3/30,58.67,60.19,58.2,59.78,398534
2018/4/2,60.98,65.67,60.51,62.84,479151
2018/4/3,62.16,65,61.83,64.97,321893
2018/4/4,65.77,65.78,61.68,61.79,279818
2018/4/9,61.98,64.2,60.76,62.43,242019
2018/4/10,62.63,62.93,59.13,60.99,275146
2018/4/11,61.22,63.45,60.93,61.37,222979
2018/4/12,61.89,63.18,60.89,61.08,176854
2018/4/13,61.9,65.55,61.88,64,330072
2018/4/16,63.98,67.39,62.51,67.33,433433
2018/4/17,66.09,66.8,61,63.44,355800
2018/4/18,63.5,66.17,60.91,64.92,340986
2018/4/19,64.07,64.21,61.41,61.66,266867
2018/4/20,61.44,62.68,59.01,59.15,292467
2018/4/23,59.89,60.33,56.88,58.62,225989
2018/4/24,58.75,60.98,57.68,60.67,259355
2018/4/25,59.58,62.2,59.53,60.76,200676
2018/4/26,60.5,61.41,59,59.15,152727
2018/4/27,59.74,61.52,57.7,60.88,208328
2018/5/2,60.7,62.95,60.67,61.92,203161
2018/5/3,61.5,62.8,59.5,62.77,194360
2018/5/4,62.4,63.57,61.68,61.7,156498
2018/5/7,62.3,64.64,62.1,64.39,219787
2018/5/8,64.12,65.49,63.4,64.35,150197
2018/5/9,64.4,64.43,62.51,62.72,146773
2018/5/10,62.72,62.97,60.03,60.62,204256
2018/5/11,60.71,61.31,59.7,59.99,139898
2018/5/14,60.2,60.6,58.48,59.16,158142
2018/5/15,59.4,60.68,59.01,60.65,129530
2018/5/16,60.3,60.58,59.21,59.34,114039
2018/5/17,59.22,59.9,58.68,58.99,76389
2018/5/18,59.11,59.65,57.81,59.32,112415
2018/5/21,59.71,61.55,59.71,61.13,157517
2018/5/22,60.9,61.07,59.85,60.77,103733
2018/5/23,60.6,62.85,60.21,61.51,194919
2018/5/24,62,64.47,61.3,63.56,262039
2018/5/25,63.13,63.54,61.82,62.89,149439
2018/5/28,63,63,60.12,60.23,165640
2018/5/29,60.23,61.3,59.31,59.39,110911
2018/5/30,58.03,58.93,56.85,57.06,182470
2018/5/31,57.73,58.28,55.75,57.69,130558
2018/6/1,57.2,58.58,56.88,57.7,102100
2018/6/4,58.08,58.27,54.84,55.19,186307
2018/6/5,55.05,56.58,55.02,56.51,111405
2018/6/6,56.6,58,56.51,57.34,109075
2018/6/7,58,58.96,57.2,57.23,98296
2018/6/8,57.45,57.84,55.93,56.87,93059
2018/6/11,56.87,58,56.37,57.88,90938
2018/6/12,58.13,58.25,56.22,57.74,105664
2018/6/13,57.56,57.72,56.15,56.17,86737
2018/6/14,56.01,56.78,55.5,55.52,78482
2018/6/15,55.5,55.85,52.88,53.06,160420
2018/6/19,51.85,51.85,47.75,49,204831
2018/6/20,48.49,50.5,48.49,49.74,142779
2018/6/21,49.43,49.94,46.89,47.12,148669
2018/6/22,46.35,48.8,46.01,48.22,106070
2018/6/25,48.8,49.22,47.7,48,104093
2018/6/26,47.47,50.43,47.27,49.94,132087
2018/6/27,49.78,50.38,49.21,49.7,111712
2018/6/28,49.85,50.46,49.2,49.58,93970
2018/6/29,49.67,53.28,49.67,52.95,162460
2018/7/2,52.6,53.9,52.01,52.81,147591
2018/7/3,53.11,55.54,52.61,55.09,151105
2018/7/4,54.85,54.9,52.96,53.4,112087
2018/7/5,53.3,54.22,52.78,52.96,88911
2018/7/6,53.17,54.16,47.66,47.66,434805
2018/7/9,48.97,50.36,48.2,49.79,230453
2018/7/10,50.2,50.75,49.46,50.54,151433
2018/7/11,49.6,50.17,48.27,49.48,116739
2018/7/12,49.9,52.99,49.8,51.93,159220
2018/7/13,52.19,52.68,51.5,52.02,95110
2018/7/16,51.72,52.01,50.6,51.36,119713
2018/7/17,51.32,51.32,49.5,50.75,116209
2018/7/18,51.01,51.8,50.45,50.68,90831
2018/7/19,50.28,51.63,49.7,50.79,93185
2018/7/20,50.57,52.5,50.09,52.14,174576
2018/7/23,52.09,54.39,51.88,53.51,175819
2018/7/24,53.5,55.25,53.26,53.87,167922
2018/7/25,54.01,54.98,53.45,53.8,99897
2018/7/26,53.69,53.95,52.01,52.58,102223
2018/7/27,52.5,52.84,51.6,52.03,77386
2018/7/30,52,52.82,50.45,50.97,90080
2018/7/31,50.8,51.53,50.45,51.16,57874
2018/8/1,51.37,52.1,50.8,50.91,59338
2018/8/2,50.6,50.79,47.03,49.28,129084
2018/8/3,48.88,49.49,48.06,48.16,55072
2018/8/6,48.34,48.64,46.88,47.5,65630
2018/8/7,47.5,48.5,45.88,48.46,122842
2018/8/8,48.19,48.3,46.32,46.4,100640
2018/8/9,46.38,49.3,46.2,48.97,142897
2018/8/10,48.79,50.42,48.79,49.99,136231
2018/8/13,49.13,52.1,49.02,51.83,154190
2018/8/14,51.52,51.83,50.62,50.97,74619
2018/8/15,50.97,51.61,49.27,49.71,89075
2018/8/16,49.34,50.96,48.54,49.81,91216
2018/8/17,50.5,51.2,48.84,49.07,83576
2018/8/20,49.2,51.05,48.58,51.01,94770
2018/8/21,50.99,51.29,50.11,50.93,92423
2018/8/22,50.67,51.84,50.41,50.81,64707
2018/8/23,52.41,54.16,52.41,53.7,244847
2018/8/24,53.27,55.18,53.07,54.7,220393
2018/8/27,54.63,55.55,54.3,55,160537
2018/8/28,54.8,55.89,54.28,54.81,115762
2018/8/29,55.02,55.16,53.82,54.32,76815
2018/8/30,54.42,54.74,53.4,54.13,79312
2018/8/31,54.16,54.5,53.11,53.34,83837
2018/9/3,53.34,56.3,52.5,56.12,169386
2018/9/4,55.83,57.39,55.13,56.53,175911
2018/9/5,56,56.81,55.22,55.5,111892
2018/9/6,55.45,58.47,55.45,56.4,186313
2018/9/7,56.5,57.39,53.04,54.15,202321
2018/9/10,54,54.8,52.7,52.7,119501
2018/9/11,52.91,54.33,52.58,53.77,85211
2018/9/12,53.77,55.3,53.5,54.2,107555
2018/9/13,54.61,55.58,52.87,54.3,132100
2018/9/14,54.54,54.7,51.7,51.93,168833
2018/9/17,51.62,52.81,51.35,51.81,75212
2018/9/18,51.69,52.85,50.5,52.6,124572
2018/9/19,52.51,54.14,51.9,53.32,138517
2018/9/20,53.85,54.59,53.3,53.53,100340
2018/9/21,53.86,54.97,52.86,54.85,120932
2018/9/25,54.5,55.8,54.31,55.28,104788
2018/9/26,55.06,55.96,54.38,55.25,116198
2018/9/27,55.3,55.79,54.75,55.22,86390
2018/9/28,55.25,55.56,53.89,55.21,115020
2018/10/8,53.86,54.35,52.41,52.58,105667
2018/10/9,52.73,53.57,49.99,51.25,142577
2018/10/10,51.25,51.5,49.7,50.96,88069
2018/10/11,48.68,49.4,46,47,167154
2018/10/12,46.67,48.08,45.69,47.4,118967
2018/10/15,47.46,48.5,47.34,47.36,77307
2018/10/16,47.36,48,44.3,45.32,122219
2018/10/17,46.2,47.06,44.58,46.63,113796
2018/10/18,46.18,47.47,45.71,46.2,100642
2018/10/19,45.61,48.96,45.4,48.7,156785
2018/10/22,50.16,53.31,49.7,52.22,241756
2018/10/23,52.6,53.07,51.38,51.84,123939
2018/10/24,51.77,52.57,50.88,51.85,109562
2018/10/25,50.02,50.98,48.9,50.67,162979
2018/10/26,51.4,51.4,46.8,48.2,191344
2018/10/29,47.5,47.5,43.6,45.18,186912
2018/10/30,44.78,47.1,43.18,46.72,165555
2018/10/31,46.45,47.5,45.9,46.73,94837
2018/11/1,48.13,49.33,47.5,47.71,174079
2018/11/2,49.8,50.94,49.8,50.73,209634
2018/11/5,50,50.88,48.91,49.96,120162
2018/11/6,49.9,51.09,49,50.98,123693
2018/11/7,50.7,51.33,50.26,50.7,119114
2018/11/8,51.26,51.36,48.92,49.02,111467
2018/11/9,48.96,50.42,48.78,49.79,90132
2018/11/12,49.8,54.36,49.29,54.02,236868
2018/11/13,53.45,57.15,53.3,55.4,282650
2018/11/14,55.42,56.8,54.97,55.8,159703
2018/11/15,55.86,57.1,54.88,56.5,156986
2018/11/16,56.6,58.85,56.6,57.9,193549
2018/11/19,57.79,57.94,56.25,57.21,105656
2018/11/20,56.21,56.87,55.4,55.91,108838
2018/11/21,55.4,56.39,55,55.8,88936
2018/11/22,55.82,56.9,55.25,55.89,89990
2018/11/23,55.92,55.95,52.93,53.2,133007
2018/11/26,53.12,53.87,52.7,53,72363
2018/11/27,53.43,54.78,53.21,54.12,95897
2018/11/28,54,55.3,52.86,54.85,116974
2018/11/29,55.3,56,52.98,53.03,112940
2018/11/30,53.2,54.19,53.05,54.19,71534
